
Processing calcEnergies_frame.C(2)...
1198196 total number of Entries
xtab[i0+1] 	17.2028	ytab[i0+1] 	0.00200002
xtab[i0+1] 	17.2028	ytab[i0+1] 	0.00200002
xtab[i0+1] 	17.2028	ytab[i0+1] 	0.00200002
xtab[i0+1] 	17.2028	ytab[i0+1] 	0.00200002
xtab[i0+1] 	17.2028	ytab[i0+1] 	0.00200002
xtab[i0+1] 	17.2028	ytab[i0+1] 	0.00200002
xtab[i0+1] 	17.2028	ytab[i0+1] 	0.00200002
xtab[i0+1] 	17.2028	ytab[i0+1] 	0.00200002
xtab[i0+1] 	17.2028	ytab[i0+1] 	0.00200002
xtab[i0+1] 	17.2028	ytab[i0+1] 	0.00200002
xtab[i0+1] 	17.2028	ytab[i0+1] 	0.00200002
xtab[i0+1] 	17.2028	ytab[i0+1] 	0.00200002
xtab[i0+1] 	17.2028	ytab[i0+1] 	0.00200002
xtab[i0+1] 	17.2028	ytab[i0+1] 	0.00200002
xtab[i0+1] 	17.2028	ytab[i0+1] 	0.00200002
xtab[i0+1] 	17.2028	ytab[i0+1] 	0.00200002
xtab[i0+1] 	17.2028	ytab[i0+1] 	0.00200002
xtab[i0+1] 	17.2028	ytab[i0+1] 	0.00200002
xtab[i0+1] 	23.7856	ytab[i0+1] 	0.00400004
xtab[i0+1] 	23.7856	ytab[i0+1] 	0.00400004
xtab[i0+1] 	23.7856	ytab[i0+1] 	0.00400004
xtab[i0+1] 	23.7856	ytab[i0+1] 	0.00400004
xtab[i0+1] 	23.7856	ytab[i0+1] 	0.00400004
xtab[i0+1] 	23.7856	ytab[i0+1] 	0.00400004
xtab[i0+1] 	29.784	ytab[i0+1] 	0.00600006
xtab[i0+1] 	29.784	ytab[i0+1] 	0.00600006
xtab[i0+1] 	29.784	ytab[i0+1] 	0.00600006
xtab[i0+1] 	29.784	ytab[i0+1] 	0.00600006
xtab[i0+1] 	35.3448	ytab[i0+1] 	0.00800008
xtab[i0+1] 	35.3448	ytab[i0+1] 	0.00800008
xtab[i0+1] 	35.3448	ytab[i0+1] 	0.00800008
xtab[i0+1] 	35.3448	ytab[i0+1] 	0.00800008
xtab[i0+1] 	40.6	ytab[i0+1] 	0.0100001
xtab[i0+1] 	40.6	ytab[i0+1] 	0.0100001
xtab[i0+1] 	40.6	ytab[i0+1] 	0.0100001
xtab[i0+1] 	40.6	ytab[i0+1] 	0.0100001
xtab[i0+1] 	45.4236	ytab[i0+1] 	0.0120001
xtab[i0+1] 	45.4236	ytab[i0+1] 	0.0120001
xtab[i0+1] 	45.4236	ytab[i0+1] 	0.0120001
xtab[i0+1] 	45.4236	ytab[i0+1] 	0.0120001
